seq,class,model,molpdf,dope,ga341
pair_1,iapp,1,1033.2701416015625,-9711.5439453125,1.1208339856239036e-05
pair_1,iapp,2,880.8468627929688,-9744.06640625,2.9216165785328485e-05
pair_1,iapp,3,976.5573120117188,-10245.6044921875,6.40133730485104e-05
pair_1,iapp,4,898.1058349609375,-10050.236328125,7.960725633893162e-05
pair_1,iapp,5,915.1068115234375,-9543.3935546875,1.8200291378889233e-05
pair_1,iapp,6,890.8330688476562,-10070.8583984375,2.1889511117478833e-05
pair_1,iapp,7,931.3911743164062,-9991.853515625,7.525347609771416e-05
pair_1,iapp,8,905.1331176757812,-9741.330078125,8.791885920800269e-05
pair_1,iapp,9,872.6699829101562,-10099.7421875,5.38692474947311e-05
pair_1,iapp,10,890.2578735351562,-9907.294921875,0.00021336125792004168
pair_0,iapp,1,1029.9910888671875,-10115.185546875,0.07438509911298752
pair_0,iapp,2,980.2708129882812,-10194.6416015625,0.03482932597398758
pair_0,iapp,3,1106.008544921875,-10241.408203125,0.03682408481836319
pair_0,iapp,4,999.2527465820312,-9919.8955078125,0.022885698825120926
pair_0,iapp,5,1003.4834594726562,-9953.0224609375,0.034853093326091766
pair_0,iapp,6,1013.5510864257812,-10102.2421875,0.039995115250349045
pair_0,iapp,7,996.7935791015625,-10140.8662109375,0.04123184457421303
pair_0,iapp,8,933.967529296875,-10340.4833984375,0.033359020948410034
pair_0,iapp,9,1395.0361328125,-10337.4853515625,0.04745520278811455
pair_0,iapp,10,960.5819702148438,-10316.7705078125,0.048971690237522125
